YEAR,RD,PICK,TEAM,PLAYER,POS,SCHOOL,TYPE,ST,SIGNED,BONUS
2023,1,1,Pittsburgh Pirates,Paul Skenes,RHP,LSU,4YR,LA,N,
2023,1,2,Washington Nationals,Dylan Crews,OF,LSU,4YR,LA,N,
2023,1,3,Detroit Tigers,Max Clark,OF,Franklin Community HS,HS,IN,N,
2023,1,4,Texas Rangers,Wyatt Langford,OF,Florida,4YR,FL,N,
2023,1,5,Minnesota Twins,Walker Jenkins,OF,South Brunswick HS,HS,NC,N,
2023,1,6,Oakland Athletics,Jacob Wilson,SS,Grand Canyon University,4YR,AZ,N,
2023,1,7,Cincinnati Reds,Rhett Lowder,RHP,Wake Forest,4YR,NC,N,
2023,1,8,Kansas City Royals,Blake Mitchell,C,Sinton HS,HS,TX,N,
2023,1,9,Colorado Rockies,Chase Dollander,RHP,Tennessee,4YR,TN,N,
2023,1,10,Miami Marlins,Noble Meyer,RHP,Jesuit HS,HS,OR,N,
2023,1,11,Los Angeles Angels,Nolan Schanuel,1B,Florida Atlantic,4YR,FL,N,
2023,1,12,Arizona Diamondbacks,Tommy Troy,SS,Stanford,4YR,CA,N,
2023,1,13,Chicago Cubs,Matt Shaw,SS,Maryland,4YR,MD,N,
2023,1,14,Boston Red Sox,Kyle Teel,C,Virginia,4YR,VA,N,
2023,1,15,Chicago White Sox,Jacob Gonzalez,SS,Ole Miss,4YR,MS,N,
2023,1,16,San Francisco Giants,Bryce Eldridge,TWP,James Madison HS,HS,VA,N,
2023,1,17,Baltimore Orioles,Enrique Bradfield,OF,Vanderbilt,4YR,TN,N,
2023,1,18,Milwaukee Brewers,Brock Wilken,3B,Wake Forest,4YR,NC,N,
2023,1,19,Tampa Bay Rays,Brayden Taylor,SS,TCU,4YR,TX,N,
2023,1,20,Toronto Blue Jays,Arjun Nimmala,SS,Strawberry Crest HS,HS,FL,N,
2023,1,21,St. Louis Cardinals,Chase Davis,OF,Arizona,4YR,AZ,N,
2023,1,22,Seattle Mariners,Colt Emerson,SS,John Glenn HS,HS,OH,N,
2023,1,23,Cleveland Guardians,Ralphy Velazquez,C,Huntington Beach HS,HS,CA,N,
2023,1,24,Atlanta Braves,Hurston Waldrep,RHP,Florida,4YR,FL,N,
2023,1,25,San Diego Padres,Dillon Head,OF,Homewood Flossmoor HS,HS,IL,N,
2023,1,26,New York Yankees,George Lombard,SS,Gulliver Prep School,HS,FL,N,
2023,1,27,Philadelphia Phillies,Aidan Miller,SS,J.W. Mitchell HS,HS,FL,N,
2023,1,28,Houston Astros,Brice Matthews,SS,Nebraska,4YR,NE,N,
2023,PPI,29,Seattle Mariners,Jonny Farmelo,OF,Westfield HS,HS,VA,N,
2023,1s,30,Seattle Mariners,Tai Peete,SS,Trinity Christian School,HS,GA,N,
2023,1s,31,Tampa Bay Rays,Adrian Santana,SS,Doral Academy,HS,FL,N,
2023,1,32,New York Mets,Colin Houck,SS,Parkview HS,HS,GA,N,
2023,1s,33,Milwaukee Brewers,Josh Knoth,RHP,Patchogue Medford HS,HS,NY,N,
2023,1s,34,Minnesota Twins,Charlee Soto,RHP,Reborn Christian Academy,HS,FL,N,
2023,1s,35,Miami Marlins,Thomas White,LHP,Phillips Academy,HS,MA,N,
2023,1,36,Los Angeles Dodgers,Kendall George,OF,Atascocita HS,HS,TX,N,
2023,1s,37,Detroit Tigers,Kevin McGonigle,SS,Monsignor Bonner HS,HS,PA,N,
2023,1s,38,Cincinnati Reds,Ty Floyd,RHP,LSU,4YR,LA,N,
2023,1s,39,Oakland Athletics,Myles Naylor,3B,St Joan Of Arc Catholic SS,HS,ON,N,
2023,2,40,Washington Nationals,Yohandy Morales,3B,Miami,4YR,FL,N,
2023,2,41,Oakland Athletics,Ryan Lasko,OF,Rutgers,4YR,NJ,N,
2023,2,42,Pittsburgh Pirates,Mitch Jebb,SS,Michigan State,4YR,MI,N,
2023,2,43,Cincinnati Reds,Sammy Stafura,SS,Walter Panas HS,HS,NY,N,
2023,2,44,Kansas City Royals,Blake Wolters,RHP,Mahomet-Seymour HS,HS,IL,N,
2023,2,45,Detroit Tigers,Max Anderson,2B,Nebraska,4YR,NE,N,
2023,2,46,Colorado Rockies,Sean Sullivan,LHP,Wake Forest,4YR,NC,N,
2023,2,47,Miami Marlins,Kemp Alderman,OF,Ole Miss,4YR,MS,N,
2023,2,48,Arizona Diamondbacks,LuJames Groover,3B,NC State,4YR,NC,N,
2023,2,49,Minnesota Twins,Luke Keaschall,2B,Arizona State,4YR,AZ,N,
2023,2,50,Boston Red Sox,Nazzan Zanetello,SS,Christian Brothers College HS,HS,MO,N,
2023,2,51,Chicago White Sox,Grant Taylor,RHP,LSU,4YR,LA,N,
2023,2,52,San Francisco Giants,Walker Martin,SS,Eaton HS,HS,CO,N,
2023,2,53,Baltimore Orioles,Mac Horvath,OF,North Carolina,4YR,NC,N,
2023,2,54,Milwaukee Brewers,Mike Boeve,3B,Nebraska-Omaha,4YR,NE,N,
2023,2,55,Tampa Bay Rays,Colton Ledbetter,OF,Mississippi State,4YR,MS,N,
2023,2,56,New York Mets,Brandon Sproat,RHP,Florida,4YR,FL,N,
2023,2,57,Seattle Mariners,Ben Williamson,3B,William & Mary,4YR,VA,N,
2023,2,58,Cleveland Guardians,Alexander Clemmey,LHP,Bishop Hendricken School,HS,RI,N,
2023,2,59,Atlanta Braves,Drue Hackenberg,RHP,Virginia Tech,4YR,VA,N,
2023,2,60,Los Angeles Dodgers,Jake Gelof,3B,Virginia,4YR,VA,N,
2023,2,61,Houston Astros,Alonzo Tredwell,RHP,UCLA,4YR,CA,N,
2023,2s,62,Cleveland Guardians,Andrew Walters,RHP,Miami,4YR,FL,N,
2023,2s,63,Baltimore Orioles,Jackson Baumeister,RHP,Florida State,4YR,FL,N,
2023,2s,64,Arizona Diamondbacks,Caden Grice,LHP,Clemson,4YR,SC,N,
2023,2s,65,Colorado Rockies,Cole Carrigg,C,San Diego State,4YR,CA,N,
2023,2s,66,Kansas City Royals,Carson Roccaforte,OF,University Of Louisiana At Lafayette,4YR,LA,N,
2023,2s,67,Pittsburgh Pirates,Zander Mueth,RHP,Belleville East HS,HS,IL,N,
2023,2s,68,Chicago Cubs,Jaxon Wiggins,RHP,Arkansas,4YR,AR,N,
2023,2s,69,San Francisco Giants,Joe Whitman,LHP,Kent State,4YR,OH,N,
2023,2s,70,Atlanta Braves,Cade Kuehler,RHP,Campbell University,4YR,NC,N,
2023,3,71,Washington Nationals,Travis Sykora,RHP,Round Rock HS,HS,TX,N,
2023,3,72,Oakland Athletics,Steven Echavarria,RHP,Millburn HS,HS,NJ,N,
2023,3,73,Pittsburgh Pirates,Garret Forrester,3B,Oregon State,4YR,OR,N,
2023,3,74,Cincinnati Reds,Hunter Hollan,LHP,Arkansas,4YR,AR,N,
2023,3,75,Kansas City Royals,Hiro Wyatt,RHP,Staples HS,HS,CT,N,
2023,3,76,Detroit Tigers,Paul Wilson,LHP,Lakeridge HS,HS,OR,N,
2023,3,77,Colorado Rockies,Jack Mahoney,RHP,South Carolina,4YR,SC,N,
2023,3,78,Miami Marlins,Brock Vradenburg,1B,Michigan State,4YR,MI,N,
2023,3,79,Los Angeles Angels,Alberto Rios,3B,Stanford,4YR,CA,N,
2023,3,80,Arizona Diamondbacks,Jack Hurley,OF,Virginia Tech,4YR,VA,N,
2023,3,81,Chicago Cubs,Josh Rivera,SS,Florida,4YR,FL,N,
2023,3,82,Minnesota Twins,Brandon Winokur,OF,Edison HS,HS,CA,N,
2023,3,83,Boston Red Sox,Antonio Anderson,SS,North Atlanta HS,HS,GA,N,
2023,3,84,Chicago White Sox,Seth Keener,RHP,Wake Forest,4YR,NC,N,
2023,3,85,San Francisco Giants,Cole Foster,SS,Auburn,4YR,AL,N,
2023,3,86,Baltimore Orioles,Kiefer Lord,RHP,Washington,4YR,WA,N,
2023,3,87,Milwaukee Brewers,Eric Bitonti,SS,Aquinas HS,HS,CA,N,
2023,3,88,Tampa Bay Rays,Tre' Morgan,1B,LSU,4YR,LA,N,
2023,3,89,Toronto Blue Jays,Juaron Watts-Brown,RHP,Oklahoma State,4YR,OK,N,
2023,3,90,St. Louis Cardinals,Travis Honeyman,OF,Boston College,4YR,MA,N,
2023,3,91,New York Mets,Nolan McLean,TWP,Oklahoma State,4YR,OK,N,
2023,3,92,Seattle Mariners,Teddy McGraw,RHP,Wake Forest,4YR,NC,N,
2023,3,93,Cleveland Guardians,C.J. Kayfus,OF,Miami,4YR,FL,N,
2023,3,94,Atlanta Braves,Sabin Ceballos,SS,Oregon,4YR,OR,N,
2023,3,95,Los Angeles Dodgers,Brady Smith,RHP,Grainger HS,HS,TN,N,
2023,3,96,San Diego Padres,JD Gonzalez,C,Anita Otero Hernandez HS,HS,CYP,N,
2023,3,97,New York Yankees,Kyle Carr,LHP,Palomar College,JC,CA,N,
2023,3,98,Philadelphia Phillies,Devin Saltiban,SS,Hilo HS,HS,HI,N,
2023,3,99,Houston Astros,Jake Bloss,RHP,Georgetown,4YR,DC,N,
2023,3,100,Baltimore Orioles,Tavian Josenberger,OF,Arkansas,4YR,AR,N,
2023,3,101,New York Mets,Kade Morris,RHP,Nevada,4YR,NV,N,
2023,4,102,Washington Nationals,Andrew Pinckney,OF,Alabama,4YR,AL,N,
2023,4,103,Oakland Athletics,Cole Miller,RHP,Newbury Park HS,HS,CA,N,
2023,4,104,Pittsburgh Pirates,Carlson Reed,RHP,West Virginia,4YR,WV,N,
2023,4,105,Cincinnati Reds,Cole Schoenwetter,RHP,San Marcos HS,HS,CA,N,
2023,4,106,Kansas City Royals,Hunter Owen,LHP,Vanderbilt,4YR,TN,N,
2023,4,107,Detroit Tigers,Carson Rucker,3B,Goodpasture Christian School,HS,TN,N,
2023,4,108,Texas Rangers,Skylar Hales,RHP,Santa Clara,4YR,CA,N,
2023,4,109,Colorado Rockies,Isaiah Coupet,LHP,Ohio State,4YR,OH,N,
2023,4,110,Miami Marlins,Emmett Olson,LHP,Nebraska,4YR,NE,N,
2023,4,111,Los Angeles Angels,Joe Redfield,OF,Sam Houston,4YR,TX,N,
2023,4,112,Arizona Diamondbacks,Grayson Hitt,LHP,Alabama,4YR,AL,N,
2023,4,113,Chicago Cubs,Will Sanders,RHP,South Carolina,4YR,SC,N,
2023,4,114,Minnesota Twins,Tanner Hall,RHP,Southern Mississippi,4YR,MS,N,
2023,4,115,Boston Red Sox,Matthew Duffy,RHP,Canisius College,4YR,NY,N,
2023,4,116,Chicago White Sox,Calvin Harris,C,Ole Miss,4YR,MS,N,
2023,4,117,San Francisco Giants,Maui Ahuna,SS,Tennessee,4YR,TN,N,
2023,4,118,Baltimore Orioles,Levi Wells,RHP,Texas State,4YR,TX,N,
2023,4,119,Milwaukee Brewers,Jason Woodward,RHP,Florida Gulf Coast University,4YR,FL,N,
2023,4,120,Tampa Bay Rays,Hunter Haas,SS,Texas A&M,4YR,TX,N,
2023,4,121,Toronto Blue Jays,Landen Maroudis,RHP,Calvary Christian HS,HS,FL,N,
2023,4,122,St. Louis Cardinals,Quinn Mathews,LHP,Stanford,4YR,CA,N,
2023,4,123,New York Mets,Wyatt Hudepohl,RHP,UNC Charlotte,4YR,NC,N,
2023,4,124,Seattle Mariners,Aidan Smith,OF,Lovejoy HS,HS,TX,N,
2023,4,125,Cleveland Guardians,Cooper Ingle,C,Clemson,4YR,SC,N,
2023,4,126,Atlanta Braves,Garrett Baumann,RHP,Hagerty HS,HS,FL,N,
2023,4,127,Los Angeles Dodgers,Wyatt Crowell,LHP,Florida State,4YR,FL,N,
2023,4,128,San Diego Padres,Homer Bush,OF,Grand Canyon University,4YR,AZ,N,
2023,4,129,New York Yankees,Roc Riggio,2B,Oklahoma State,4YR,OK,N,
2023,4,130,Philadelphia Phillies,TayShaun Walton,OF,IMG Academy,HS,FL,N,
2023,4,131,Houston Astros,Cam Fisher,OF,UNC Charlotte,4YR,NC,N,
2023,4C,132,Boston Red Sox,Kristian Campbell,SS,Georgia Tech,4YR,GA,N,
2023,4C,133,Boston Red Sox,Justin Riemer,SS,Wright State,4YR,OH,N,
2023,4C,134,New York Mets,A.J. Ewing,SS,Springboro HS,HS,OH,N,
2023,4C,135,New York Mets,Austin Troesser,RHP,Missouri,4YR,MO,N,
2023,4C,136,Los Angeles Dodgers,Dylan Campbell,OF,Texas,4YR,TX,N,
2023,4C,137,Los Angeles Dodgers,Eriq Swan,RHP,Middle Tennessee State,4YR,TN,N,
2023,5,138,Washington Nationals,Marcus Brown,SS,Oklahoma State,4YR,OK,N,
2023,5,139,Oakland Athletics,Nathan Dettmer,RHP,Texas A&M,4YR,TX,N,
2023,5,140,Pittsburgh Pirates,Patrick Reilly,RHP,Vanderbilt,4YR,TN,N,
2023,5,141,Cincinnati Reds,Connor Burns,C,Long Beach State,4YR,CA,N,
2023,5,142,Kansas City Royals,Spencer Nivens,OF,Missouri State,4YR,MO,N,
2023,5,143,Detroit Tigers,Jaden Hamm,RHP,Middle Tennessee State,4YR,TN,N,
2023,5,144,Texas Rangers,Alejandro Rosario,RHP,Miami,4YR,FL,N,
2023,5,145,Colorado Rockies,Kyle Karros,3B,UCLA,4YR,CA,N,
2023,5,146,Miami Marlins,Andrew Lindsey,RHP,Tennessee,4YR,TN,N,
2023,5,147,Los Angeles Angels,Chris Clark,RHP,Harvard,4YR,MA,N,
2023,5,148,Arizona Diamondbacks,Kevin Sim,3B,University Of San Diego,4YR,CA,N,
2023,5,149,Chicago Cubs,Michael Carico,C,Davidson,4YR,NC,N,
2023,5,150,Minnesota Twins,Dylan Questad,RHP,Waterford HS,HS,WI,N,
2023,5,151,Boston Red Sox,Connelly Early,LHP,Virginia,4YR,VA,N,
2023,5,152,Chicago White Sox,Christian Oppor,LHP,Gulf Coast CC,JC,FL,N,
2023,5,153,San Francisco Giants,Quinn McDaniel,2B,University Of Maine,4YR,ME,N,
2023,5,154,Baltimore Orioles,Jake Cunningham,OF,UNC Charlotte,4YR,NC,N,
2023,5,155,Milwaukee Brewers,Ryan Birchard,RHP,Niagara County CC,JC,NY,N,
2023,5,156,Tampa Bay Rays,Trevor Harrison,RHP,J.W. Mitchell HS,HS,FL,N,
2023,5,157,Toronto Blue Jays,Connor O'Halloran,LHP,Michigan,4YR,MI,N,
2023,5,158,St. Louis Cardinals,Zach Levenson,OF,Miami,4YR,FL,N,
2023,5,159,New York Mets,Zach Thornton,LHP,Grand Canyon University,4YR,AZ,N,
2023,5,160,Seattle Mariners,Brock Rodden,SS,Wichita State,4YR,KS,N,
